"","Fecha_I","Hora_I","Des-I","Emp-I","Fecha_O","Hora_O","Des-O","Emp-O","DIA","MES","DIANOM","OPERA","SIGLADES","temporada_alta","diff_min","periodo_dia","atraso_15"
"14","2017-01-21","23:30:00","KMIA","AAL","2017-01-21","23:26:00","KMIA","AAL",21,1,"Sabado","American Airlines","Miami",1,4,"noche",0
"15","2017-01-23","23:30:00","KMIA","AAL","2017-01-23","23:19:00","KMIA","AAL",23,1,"Lunes","American Airlines","Miami",1,11,"noche",0
"16","2017-01-25","23:30:00","KMIA","AAL","2017-01-25","23:21:00","KMIA","AAL",25,1,"Miercoles","American Airlines","Miami",1,9,"noche",0
"17","2017-01-28","23:30:00","KMIA","AAL","2017-01-28","23:21:00","KMIA","AAL",28,1,"Sabado","American Airlines","Miami",1,9,"noche",0
"18","2017-01-30","23:30:00","KMIA","AAL","2017-01-30","23:18:00","KMIA","AAL",30,1,"Lunes","American Airlines","Miami",1,12,"noche",0
"19","2017-01-01","22:00:00","KMIA","AAL","2017-01-01","22:15:00","KMIA","AAL",1,1,"Domingo","American Airlines","Miami",1,15,"noche",1
"20","2017-01-02","22:00:00","KMIA","AAL","2017-01-02","21:58:00","KMIA","AAL",2,1,"Lunes","American Airlines","Miami",1,2,"noche",0
"21","2017-01-03","22:00:00","KMIA","AAL","2017-01-03","22:02:00","KMIA","AAL",3,1,"Martes","American Airlines","Miami",1,2,"noche",0
"22","2017-01-04","22:00:00","KMIA","AAL","2017-01-04","22:08:00","KMIA","AAL",4,1,"Miercoles","American Airlines","Miami",1,8,"noche",0
"23","2017-01-05","22:00:00","KMIA","AAL","2017-01-05","21:55:00","KMIA","AAL",5,1,"Jueves","American Airlines","Miami",1,5,"noche",0
"24","2017-01-06","22:00:00","KMIA","AAL","2017-01-06","22:52:00","KMIA","AAL",6,1,"Viernes","American Airlines","Miami",1,52,"noche",1
"25","2017-01-07","22:00:00","KMIA","AAL","2017-01-07","21:55:00","KMIA","AAL",7,1,"Sabado","American Airlines","Miami",1,5,"noche",0
"26","2017-01-08","22:00:00","KMIA","AAL","2017-01-08","22:00:00","KMIA","AAL",8,1,"Domingo","American Airlines","Miami",1,0,"noche",0
"27","2017-01-09","22:00:00","KMIA","AAL","2017-01-09","22:26:00","KMIA","AAL",9,1,"Lunes","American Airlines","Miami",1,26,"noche",1
"28","2017-01-10","22:00:00","KMIA","AAL","2017-01-10","21:57:00","KMIA","AAL",10,1,"Martes","American Airlines","Miami",1,3,"noche",0
"29","2017-01-11","22:00:00","KMIA","AAL","2017-01-11","21:55:00","KMIA","AAL",11,1,"Miercoles","American Airlines","Miami",1,5,"noche",0
"30","2017-01-12","22:00:00","KMIA","AAL","2017-01-12","22:02:00","KMIA","AAL",12,1,"Jueves","American Airlines","Miami",1,2,"noche",0
"31","2017-01-13","22:00:00","KMIA","AAL","2017-01-13","22:02:00","KMIA","AAL",13,1,"Viernes","American Airlines","Miami",1,2,"noche",0
"32","2017-01-14","22:00:00","KMIA","AAL","2017-01-14","21:53:00","KMIA","AAL",14,1,"Sabado","American Airlines","Miami",1,7,"noche",0
"33","2017-01-15","22:00:00","KMIA","AAL","2017-01-15","21:59:00","KMIA","AAL",15,1,"Domingo","American Airlines","Miami",1,1,"noche",0
"34","2017-01-16","22:00:00","KMIA","AAL","2017-01-16","22:05:00","KMIA","AAL",16,1,"Lunes","American Airlines","Miami",1,5,"noche",0
"35","2017-01-17","22:00:00","KMIA","AAL","2017-01-17","21:56:00","KMIA","AAL",17,1,"Martes","American Airlines","Miami",1,4,"noche",0
"36","2017-01-18","22:00:00","KMIA","AAL","2017-01-18","22:01:00","KMIA","AAL",18,1,"Miercoles","American Airlines","Miami",1,1,"noche",0
"37","2017-01-19","22:00:00","KMIA","AAL","2017-01-19","21:55:00","KMIA","AAL",19,1,"Jueves","American Airlines","Miami",1,5,"noche",0
"38","2017-01-21","22:00:00","KMIA","AAL","2017-01-21","22:03:00","KMIA","AAL",21,1,"Sabado","American Airlines","Miami",1,3,"noche",0
"39","2017-01-22","22:00:00","KMIA","AAL","2017-01-22","21:58:00","KMIA","AAL",22,1,"Domingo","American Airlines","Miami",1,2,"noche",0
"40","2017-01-23","22:00:00","KMIA","AAL","2017-01-23","21:56:00","KMIA","AAL",23,1,"Lunes","American Airlines","Miami",1,4,"noche",0
"41","2017-01-24","22:00:00","KMIA","AAL","2017-01-24","21:54:00","KMIA","AAL",24,1,"Martes","American Airlines","Miami",1,6,"noche",0
"42","2017-01-25","22:00:00","KMIA","AAL","2017-01-25","22:04:00","KMIA","AAL",25,1,"Miercoles","American Airlines","Miami",1,4,"noche",0
"43","2017-01-26","22:00:00","KMIA","AAL","2017-01-26","21:56:00","KMIA","AAL",26,1,"Jueves","American Airlines","Miami",1,4,"noche",0
"44","2017-01-27","22:00:00","KMIA","AAL","2017-01-27","21:56:00","KMIA","AAL",27,1,"Viernes","American Airlines","Miami",1,4,"noche",0
"45","2017-01-28","22:00:00","KMIA","AAL","2017-01-28","21:51:00","KMIA","AAL",28,1,"Sabado","American Airlines","Miami",1,9,"noche",0
"46","2017-01-29","22:00:00","KMIA","AAL","2017-01-29","21:50:00","KMIA","AAL",29,1,"Domingo","American Airlines","Miami",1,10,"noche",0
"47","2017-01-30","22:00:00","KMIA","AAL","2017-01-30","22:00:00","KMIA","AAL",30,1,"Lunes","American Airlines","Miami",1,0,"noche",0
"48","2017-01-31","22:00:00","KMIA","AAL","2017-01-31","21:58:00","KMIA","AAL",31,1,"Martes","American Airlines","Miami",1,2,"noche",0
"49","2017-01-01","22:30:00","KDFW","AAL","2017-01-01","22:31:00","KDFW","AAL",1,1,"Domingo","American Airlines","Dallas",1,1,"noche",0
"50","2017-01-02","22:30:00","KDFW","AAL","2017-01-02","22:26:00","KDFW","AAL",2,1,"Lunes","American Airlines","Dallas",1,4,"noche",0
"51","2017-01-03","22:30:00","KDFW","AAL","2017-01-03","22:40:00","KDFW","AAL",3,1,"Martes","American Airlines","Dallas",1,10,"noche",0
"52","2017-01-04","22:30:00","KDFW","AAL","2017-01-04","22:50:00","KDFW","AAL",4,1,"Miercoles","American Airlines","Dallas",1,20,"noche",1
"53","2017-01-05","22:30:00","KDFW","AAL","2017-01-05","22:41:00","KDFW","AAL",5,1,"Jueves","American Airlines","Dallas",1,11,"noche",0
"54","2017-01-06","22:30:00","KDFW","AAL","2017-01-06","22:54:00","KDFW","AAL",6,1,"Viernes","American Airlines","Dallas",1,24,"noche",1
"55","2017-01-07","22:30:00","KDFW","AAL","2017-01-07","22:25:00","KDFW","AAL",7,1,"Sabado","American Airlines","Dallas",1,5,"noche",0
"56","2017-01-08","22:30:00","KDFW","AAL","2017-01-08","22:23:00","KDFW","AAL",8,1,"Domingo","American Airlines","Dallas",1,7,"noche",0
"57","2017-01-09","22:30:00","KDFW","AAL","2017-01-09","22:44:00","KDFW","AAL",9,1,"Lunes","American Airlines","Dallas",1,14,"noche",0
"58","2017-01-10","22:30:00","KDFW","AAL","2017-01-10","22:35:00","KDFW","AAL",10,1,"Martes","American Airlines","Dallas",1,5,"noche",0
"59","2017-01-11","22:30:00","KDFW","AAL","2017-01-11","22:30:00","KDFW","AAL",11,1,"Miercoles","American Airlines","Dallas",1,0,"noche",0
"60","2017-01-12","22:30:00","KDFW","AAL","2017-01-12","22:55:00","KDFW","AAL",12,1,"Jueves","American Airlines","Dallas",1,25,"noche",1
"61","2017-01-13","22:30:00","KDFW","AAL","2017-01-13","22:31:00","KDFW","AAL",13,1,"Viernes","American Airlines","Dallas",1,1,"noche",0
"62","2017-01-14","22:30:00","KDFW","AAL","2017-01-14","22:30:00","KDFW","AAL",14,1,"Sabado","American Airlines","Dallas",1,0,"noche",0
"63","2017-01-15","22:30:00","KDFW","AAL","2017-01-15","22:26:00","KDFW","AAL",15,1,"Domingo","American Airlines","Dallas",1,4,"noche",0
"64","2017-01-16","22:30:00","KDFW","AAL","2017-01-16","22:43:00","KDFW","AAL",16,1,"Lunes","American Airlines","Dallas",1,13,"noche",0
"65","2017-01-17","22:30:00","KDFW","AAL","2017-01-17","22:27:00","KDFW","AAL",17,1,"Martes","American Airlines","Dallas",1,3,"noche",0
"66","2017-01-18","22:30:00","KDFW","AAL","2017-01-18","22:32:00","KDFW","AAL",18,1,"Miercoles","American Airlines","Dallas",1,2,"noche",0
"67","2017-01-19","22:30:00","KDFW","AAL","2017-01-19","22:25:00","KDFW","AAL",19,1,"Jueves","American Airlines","Dallas",1,5,"noche",0
"68","2017-01-20","22:30:00","KDFW","AAL","2017-01-20","22:30:00","KDFW","AAL",20,1,"Viernes","American Airlines","Dallas",1,0,"noche",0
"69","2017-01-21","22:30:00","KDFW","AAL","2017-01-21","22:28:00","KDFW","AAL",21,1,"Sabado","American Airlines","Dallas",1,2,"noche",0
"70","2017-01-22","22:30:00","KDFW","AAL","2017-01-22","22:33:00","KDFW","AAL",22,1,"Domingo","American Airlines","Dallas",1,3,"noche",0
"71","2017-01-23","22:30:00","KDFW","AAL","2017-01-23","22:21:00","KDFW","AAL",23,1,"Lunes","American Airlines","Dallas",1,9,"noche",0
"72","2017-01-24","22:30:00","KDFW","AAL","2017-01-24","22:35:00","KDFW","AAL",24,1,"Martes","American Airlines","Dallas",1,5,"noche",0
"73","2017-01-25","22:30:00","KDFW","AAL","2017-01-25","22:27:00","KDFW","AAL",25,1,"Miercoles","American Airlines","Dallas",1,3,"noche",0
"74","2017-01-26","22:30:00","KDFW","AAL","2017-01-26","22:26:00","KDFW","AAL",26,1,"Jueves","American Airlines","Dallas",1,4,"noche",0
"75","2017-01-27","22:30:00","KDFW","AAL","2017-01-27","22:20:00","KDFW","AAL",27,1,"Viernes","American Airlines","Dallas",1,10,"noche",0
"76","2017-01-28","22:30:00","KDFW","AAL","2017-01-28","22:21:00","KDFW","AAL",28,1,"Sabado","American Airlines","Dallas",1,9,"noche",0
"77","2017-01-29","22:30:00","KDFW","AAL","2017-01-29","23:32:00","KDFW","AAL",29,1,"Domingo","American Airlines","Dallas",1,62,"noche",1
"78","2017-01-30","22:30:00","KDFW","AAL","2017-01-30","22:32:00","KDFW","AAL",30,1,"Lunes","American Airlines","Dallas",1,2,"noche",0
"79","2017-01-31","22:30:00","KDFW","AAL","2017-01-31","22:22:00","KDFW","AAL",31,1,"Martes","American Airlines","Dallas",1,8,"noche",0
"80","2017-01-01","13:35:00","SAEZ","ACA","2017-01-01","13:54:00","SAEZ","ACA",1,1,"Domingo","Air Canada","Buenos Aires",1,19,"tarde",1
"81","2017-01-02","13:35:00","SAEZ","ACA","2017-01-02","14:35:00","SAEZ","ACA",2,1,"Lunes","Air Canada","Buenos Aires",1,60,"tarde",1
"82","2017-01-03","13:35:00","SAEZ","ACA","2017-01-03","13:52:00","SAEZ","ACA",3,1,"Martes","Air Canada","Buenos Aires",1,17,"tarde",1
"83","2017-01-04","13:35:00","SAEZ","ACA","2017-01-04","14:01:00","SAEZ","ACA",4,1,"Miercoles","Air Canada","Buenos Aires",1,26,"tarde",1
"84","2017-01-05","13:35:00","SAEZ","ACA","2017-01-05","13:49:00","SAEZ","ACA",5,1,"Jueves","Air Canada","Buenos Aires",1,14,"tarde",0
"85","2017-01-06","13:35:00","SAEZ","ACA","2017-01-06","14:42:00","SAEZ","ACA",6,1,"Viernes","Air Canada","Buenos Aires",1,67,"tarde",1
"86","2017-01-07","13:35:00","SAEZ","ACA","2017-01-07","14:59:00","SAEZ","ACA",7,1,"Sabado","Air Canada","Buenos Aires",1,84,"tarde",1
"87","2017-01-08","13:35:00","SAEZ","ACA","2017-01-08","14:38:00","SAEZ","ACA",8,1,"Domingo","Air Canada","Buenos Aires",1,63,"tarde",1
"88","2017-01-09","13:35:00","SAEZ","ACA","2017-01-09","15:12:00","SAEZ","ACA",9,1,"Lunes","Air Canada","Buenos Aires",1,97,"tarde",1
"89","2017-01-10","13:35:00","SAEZ","ACA","2017-01-10","13:52:00","SAEZ","ACA",10,1,"Martes","Air Canada","Buenos Aires",1,17,"tarde",1
"90","2017-01-11","13:35:00","SAEZ","ACA","2017-01-11","15:05:00","SAEZ","ACA",11,1,"Miercoles","Air Canada","Buenos Aires",1,90,"tarde",1
"91","2017-01-12","13:35:00","SAEZ","ACA","2017-01-12","15:45:00","SAEZ","ACA",12,1,"Jueves","Air Canada","Buenos Aires",1,130,"tarde",1
"92","2017-01-13","13:35:00","SAEZ","ACA","2017-01-13","13:59:00","SAEZ","ACA",13,1,"Viernes","Air Canada","Buenos Aires",1,24,"tarde",1
"93","2017-01-14","13:35:00","SAEZ","ACA","2017-01-14","14:52:00","SAEZ","ACA",14,1,"Sabado","Air Canada","Buenos Aires",1,77,"tarde",1
"94","2017-01-15","13:35:00","SAEZ","ACA","2017-01-15","14:07:00","SAEZ","ACA",15,1,"Domingo","Air Canada","Buenos Aires",1,32,"tarde",1
"95","2017-01-16","13:35:00","SAEZ","ACA","2017-01-16","14:14:00","SAEZ","ACA",16,1,"Lunes","Air Canada","Buenos Aires",1,39,"tarde",1
"96","2017-01-17","13:35:00","SAEZ","ACA","2017-01-17","14:23:00","SAEZ","ACA",17,1,"Martes","Air Canada","Buenos Aires",1,48,"tarde",1
"97","2017-01-18","13:35:00","SAEZ","ACA","2017-01-18","13:41:00","SAEZ","ACA",18,1,"Miercoles","Air Canada","Buenos Aires",1,6,"tarde",0
"98","2017-01-19","13:35:00","SAEZ","ACA","2017-01-19","13:37:00","SAEZ","ACA",19,1,"Jueves","Air Canada","Buenos Aires",1,2,"tarde",0
"99","2017-01-20","13:35:00","SAEZ","ACA","2017-01-20","14:03:00","SAEZ","ACA",20,1,"Viernes","Air Canada","Buenos Aires",1,28,"tarde",1
"100","2017-01-21","13:35:00","SAEZ","ACA","2017-01-21","13:46:00","SAEZ","ACA",21,1,"Sabado","Air Canada","Buenos Aires",1,11,"tarde",0
"101","2017-01-22","13:35:00","SAEZ","ACA","2017-01-22","14:08:00","SAEZ","ACA",22,1,"Domingo","Air Canada","Buenos Aires",1,33,"tarde",1
"102","2017-01-23","13:35:00","SAEZ","ACA","2017-01-23","14:44:00","SAEZ","ACA",23,1,"Lunes","Air Canada","Buenos Aires",1,69,"tarde",1
"103","2017-01-24","13:35:00","SAEZ","ACA","2017-01-24","13:55:00","SAEZ","ACA",24,1,"Martes","Air Canada","Buenos Aires",1,20,"tarde",1
"104","2017-01-25","13:35:00","SAEZ","ACA","2017-01-25","13:38:00","SAEZ","ACA",25,1,"Miercoles","Air Canada","Buenos Aires",1,3,"tarde",0
"105","2017-01-26","13:35:00","SAEZ","ACA","2017-01-26","13:57:00","SAEZ","ACA",26,1,"Jueves","Air Canada","Buenos Aires",1,22,"tarde",1
"106","2017-01-27","13:35:00","SAEZ","ACA","2017-01-27","13:56:00","SAEZ","ACA",27,1,"Viernes","Air Canada","Buenos Aires",1,21,"tarde",1
"107","2017-01-28","13:35:00","SAEZ","ACA","2017-01-28","13:57:00","SAEZ","ACA",28,1,"Sabado","Air Canada","Buenos Aires",1,22,"tarde",1
"108","2017-01-29","13:35:00","SAEZ","ACA","2017-01-29","14:02:00","SAEZ","ACA",29,1,"Domingo","Air Canada","Buenos Aires",1,27,"tarde",1
"109","2017-01-30","13:35:00","SAEZ","ACA","2017-01-30","13:41:00","SAEZ","ACA",30,1,"Lunes","Air Canada","Buenos Aires",1,6,"tarde",0
"110","2017-01-01","21:10:00","CYYZ","ACA","2017-01-01","21:30:00","CYYZ","ACA",1,1,"Domingo","Air Canada","Toronto",1,20,"noche",1
"111","2017-01-02","21:10:00","CYYZ","ACA","2017-01-02","21:27:00","CYYZ","ACA",2,1,"Lunes","Air Canada","Toronto",1,17,"noche",1
"112","2017-01-03","21:10:00","CYYZ","ACA","2017-01-03","21:29:00","CYYZ","ACA",3,1,"Martes","Air Canada","Toronto",1,19,"noche",1
"113","2017-01-04","21:10:00","CYYZ","ACA","2017-01-04","21:57:00","CYYZ","ACA",4,1,"Miercoles","Air Canada","Toronto",1,47,"noche",1
"114","2017-01-05","21:10:00","CYYZ","ACA","2017-01-05","21:15:00","CYYZ","ACA",5,1,"Jueves","Air Canada","Toronto",1,5,"noche",0
"115","2017-01-06","21:10:00","CYYZ","ACA","2017-01-06","22:13:00","CYYZ","ACA",6,1,"Viernes","Air Canada","Toronto",1,63,"noche",1
"116","2017-01-07","21:10:00","CYYZ","ACA","2017-01-07","22:05:00","CYYZ","ACA",7,1,"Sabado","Air Canada","Toronto",1,55,"noche",1
"117","2017-01-08","21:10:00","CYYZ","ACA","2017-01-08","22:03:00","CYYZ","ACA",8,1,"Domingo","Air Canada","Toronto",1,53,"noche",1
"118","2017-01-09","21:10:00","CYYZ","ACA","2017-01-09","22:55:00","CYYZ","ACA",9,1,"Lunes","Air Canada","Toronto",1,105,"noche",1
"119","2017-01-10","21:10:00","CYYZ","ACA","2017-01-10","21:30:00","CYYZ","ACA",10,1,"Martes","Air Canada","Toronto",1,20,"noche",1
"120","2017-01-11","21:10:00","CYYZ","ACA","2017-01-11","22:22:00","CYYZ","ACA",11,1,"Miercoles","Air Canada","Toronto",1,72,"noche",1
"121","2017-01-13","21:10:00","CYYZ","ACA","2017-01-13","21:36:00","CYYZ","ACA",13,1,"Viernes","Air Canada","Toronto",1,26,"noche",1
"122","2017-01-14","21:10:00","CYYZ","ACA","2017-01-14","22:49:00","CYYZ","ACA",14,1,"Sabado","Air Canada","Toronto",1,99,"noche",1
"123","2017-01-15","21:10:00","CYYZ","ACA","2017-01-15","22:02:00","CYYZ","ACA",15,1,"Domingo","Air Canada","Toronto",1,52,"noche",1
"124","2017-01-16","21:10:00","CYYZ","ACA","2017-01-16","21:43:00","CYYZ","ACA",16,1,"Lunes","Air Canada","Toronto",1,33,"noche",1
"125","2017-01-17","21:10:00","CYYZ","ACA","2017-01-17","23:37:00","CYYZ","ACA",17,1,"Martes","Air Canada","Toronto",1,147,"noche",1
"126","2017-01-18","21:10:00","CYYZ","ACA","2017-01-18","21:28:00","CYYZ","ACA",18,1,"Miercoles","Air Canada","Toronto",1,18,"noche",1
"127","2017-01-19","21:10:00","CYYZ","ACA","2017-01-19","21:35:00","CYYZ","ACA",19,1,"Jueves","Air Canada","Toronto",1,25,"noche",1
"128","2017-01-20","21:10:00","CYYZ","ACA","2017-01-20","21:15:00","CYYZ","ACA",20,1,"Viernes","Air Canada","Toronto",1,5,"noche",0
"129","2017-01-21","21:10:00","CYYZ","ACA","2017-01-21","21:31:00","CYYZ","ACA",21,1,"Sabado","Air Canada","Toronto",1,21,"noche",1
"130","2017-01-22","21:10:00","CYYZ","ACA","2017-01-22","21:23:00","CYYZ","ACA",22,1,"Domingo","Air Canada","Toronto",1,13,"noche",0
"131","2017-01-23","21:10:00","CYYZ","ACA","2017-01-23","21:31:00","CYYZ","ACA",23,1,"Lunes","Air Canada","Toronto",1,21,"noche",1
"132","2017-01-24","21:10:00","CYYZ","ACA","2017-01-24","21:21:00","CYYZ","ACA",24,1,"Martes","Air Canada","Toronto",1,11,"noche",0
"133","2017-01-25","21:10:00","CYYZ","ACA","2017-01-25","21:06:00","CYYZ","ACA",25,1,"Miercoles","Air Canada","Toronto",1,4,"noche",0
"134","2017-01-26","21:10:00","CYYZ","ACA","2017-01-26","21:09:00","CYYZ","ACA",26,1,"Jueves","Air Canada","Toronto",1,1,"noche",0
"135","2017-01-27","21:10:00","CYYZ","ACA","2017-01-27","21:18:00","CYYZ","ACA",27,1,"Viernes","Air Canada","Toronto",1,8,"noche",0
"136","2017-01-28","21:10:00","CYYZ","ACA","2017-01-28","21:16:00","CYYZ","ACA",28,1,"Sabado","Air Canada","Toronto",1,6,"noche",0
"137","2017-01-29","21:10:00","CYYZ","ACA","2017-01-29","21:06:00","CYYZ","ACA",29,1,"Domingo","Air Canada","Toronto",1,4,"noche",0
"138","2017-01-30","21:10:00","CYYZ","ACA","2017-01-30","21:16:00","CYYZ","ACA",30,1,"Lunes","Air Canada","Toronto",1,6,"noche",0
"139","2017-01-01","14:25:00","LFPG","AFR","2017-01-01","14:21:00","LFPG","AFR",1,1,"Domingo","Air France","Paris",1,4,"tarde",0
"140","2017-01-02","14:25:00","LFPG","AFR","2017-01-02","14:25:00","LFPG","AFR",2,1,"Lunes","Air France","Paris",1,0,"tarde",0
"141","2017-01-03","14:25:00","LFPG","AFR","2017-01-03","14:28:00","LFPG","AFR",3,1,"Martes","Air France","Paris",1,3,"tarde",0
"142","2017-01-04","14:25:00","LFPG","AFR","2017-01-04","14:24:00","LFPG","AFR",4,1,"Miercoles","Air France","Paris",1,1,"tarde",0
"143","2017-01-05","14:25:00","LFPG","AFR","2017-01-05","14:15:00","LFPG","AFR",5,1,"Jueves","Air France","Paris",1,10,"tarde",0
"144","2017-01-06","14:25:00","LFPG","AFR","2017-01-06","14:41:00","LFPG","AFR",6,1,"Viernes","Air France","Paris",1,16,"tarde",1
"145","2017-01-07","14:25:00","LFPG","AFR","2017-01-07","14:24:00","LFPG","AFR",7,1,"Sabado","Air France","Paris",1,1,"tarde",0
"146","2017-01-08","14:25:00","LFPG","AFR","2017-01-08","14:26:00","LFPG","AFR",8,1,"Domingo","Air France","Paris",1,1,"tarde",0
"147","2017-01-09","14:25:00","LFPG","AFR","2017-01-09","14:39:00","LFPG","AFR",9,1,"Lunes","Air France","Paris",1,14,"tarde",0
"148","2017-01-10","14:25:00","LFPG","AFR","2017-01-10","14:33:00","LFPG","AFR",10,1,"Martes","Air France","Paris",1,8,"tarde",0
"149","2017-01-11","14:25:00","LFPG","AFR","2017-01-11","14:32:00","LFPG","AFR",11,1,"Miercoles","Air France","Paris",1,7,"tarde",0
"150","2017-01-12","14:25:00","LFPG","AFR","2017-01-12","14:32:00","LFPG","AFR",12,1,"Jueves","Air France","Paris",1,7,"tarde",0
"151","2017-01-13","14:25:00","LFPG","AFR","2017-01-13","14:30:00","LFPG","AFR",13,1,"Viernes","Air France","Paris",1,5,"tarde",0
"152","2017-01-14","14:25:00","LFPG","AFR","2017-01-14","14:42:00","LFPG","AFR",14,1,"Sabado","Air France","Paris",1,17,"tarde",1
"153","2017-01-15","14:25:00","LFPG","AFR","2017-01-15","14:26:00","LFPG","AFR",15,1,"Domingo","Air France","Paris",1,1,"tarde",0
"154","2017-01-16","14:25:00","LFPG","AFR","2017-01-16","14:37:00","LFPG","AFR",16,1,"Lunes","Air France","Paris",1,12,"tarde",0
"155","2017-01-17","14:25:00","LFPG","AFR","2017-01-17","14:22:00","LFPG","AFR",17,1,"Martes","Air France","Paris",1,3,"tarde",0
"156","2017-01-18","14:25:00","LFPG","AFR","2017-01-18","14:58:00","LFPG","AFR",18,1,"Miercoles","Air France","Paris",1,33,"tarde",1
"157","2017-01-19","14:25:00","LFPG","AFR","2017-01-19","14:31:00","LFPG","AFR",19,1,"Jueves","Air France","Paris",1,6,"tarde",0
"158","2017-01-20","14:25:00","LFPG","AFR","2017-01-20","14:21:00","LFPG","AFR",20,1,"Viernes","Air France","Paris",1,4,"tarde",0
"159","2017-01-21","14:25:00","LFPG","AFR","2017-01-21","14:33:00","LFPG","AFR",21,1,"Sabado","Air France","Paris",1,8,"tarde",0
"160","2017-01-22","14:25:00","LFPG","AFR","2017-01-22","14:32:00","LFPG","AFR",22,1,"Domingo","Air France","Paris",1,7,"tarde",0
"161","2017-01-23","14:25:00","LFPG","AFR","2017-01-23","14:24:00","LFPG","AFR",23,1,"Lunes","Air France","Paris",1,1,"tarde",0
"162","2017-01-24","14:25:00","LFPG","AFR","2017-01-24","14:28:00","LFPG","AFR",24,1,"Martes","Air France","Paris",1,3,"tarde",0
"163","2017-01-25","14:25:00","LFPG","AFR","2017-01-25","14:18:00","LFPG","AFR",25,1,"Miercoles","Air France","Paris",1,7,"tarde",0
"164","2017-01-26","14:25:00","LFPG","AFR","2017-01-26","14:37:00","LFPG","AFR",26,1,"Jueves","Air France","Paris",1,12,"tarde",0
"165","2017-01-27","14:25:00","LFPG","AFR","2017-01-27","14:23:00","LFPG","AFR",27,1,"Viernes","Air France","Paris",1,2,"tarde",0
"166","2017-01-28","14:25:00","LFPG","AFR","2017-01-28","14:32:00","LFPG","AFR",28,1,"Sabado","Air France","Paris",1,7,"tarde",0
"167","2017-01-29","14:25:00","LFPG","AFR","2017-01-29","14:39:00","LFPG","AFR",29,1,"Domingo","Air France","Paris",1,14,"tarde",0
"168","2017-01-30","14:25:00","LFPG","AFR","2017-01-30","14:39:00","LFPG","AFR",30,1,"Lunes","Air France","Paris",1,14,"tarde",0
"169","2017-01-31","14:25:00","LFPG","AFR","2017-01-31","14:20:00","LFPG","AFR",31,1,"Martes","Air France","Paris",1,5,"tarde",0
"170","2017-01-01","0:15:00","MMMX","AMX","2017-01-01","0:04:00","MMMX","AMX",1,1,"Domingo","Aeromexico","Ciudad de Mexico",1,11,"noche",0
"171","2017-01-02","0:15:00","MMMX","AMX","2017-01-02","0:28:00","MMMX","AMX",2,1,"Lunes","Aeromexico","Ciudad de Mexico",1,13,"noche",0
"172","2017-01-03","0:15:00","MMMX","AMX","2017-01-03","0:13:00","MMMX","AMX",3,1,"Martes","Aeromexico","Ciudad de Mexico",1,2,"noche",0
"173","2017-01-04","0:15:00","MMMX","AMX","2017-01-04","0:03:00","MMMX","AMX",4,1,"Miercoles","Aeromexico","Ciudad de Mexico",1,12,"noche",0
"174","2017-01-05","0:15:00","MMMX","AMX","2017-01-05","0:22:00","MMMX","AMX",5,1,"Jueves","Aeromexico","Ciudad de Mexico",1,7,"noche",0
